fips,cases,deaths,cured
20095,778,15,763
20097,271,5,266
20099,2774,50,2724
20101,143,7,136
20103,7324,94,7230
20105,266,5,261
20107,833,12,821
20109,305,6,299
20111,4326,86,4240
20115,1120,24,1096
20117,1138,26,1112
20113,3396,89,3307
20119,514,13,501
20121,2806,42,2764
20123,569,18,551
20125,3483,84,3399
20127,613,23,590
20129,269,9,260
20131,1531,55,1476
20133,1820,35,1785
20135,372,16,356
20137,1221,27,1194
20139,1267,26,1241
20141,293,12,281
20143,560,13,547
20145,1178,14,1164
20147,711,25,686
20149,2005,32,1973
20151,816,25,791
20153,360,7,353
20155,8602,141,8461
20157,680,15,665
20159,1075,12,1063
20161,6682,43,6639
20163,659,11,648
20165,434,14,420
20167,865,28,837
20169,6362,143,6219
20171,621,24,597
20173,58027,791,57236
20175,3988,41,3947
20177,17754,371,17383
20179,437,14,423
20181,662,12,650
20183,279,3,276
20185,352,10,342
20187,186,6,180
20189,586,10,576
20191,2236,53,2183
20193,1135,20,1115
20195,407,8,399
20197,698,14,684
20199,179,4,175
20201,555,14,541
20203,218,6,212
20205,1032,16,1016
20207,225,5,220
20209,21023,299,20724
21001,1960,54,1906
21003,2122,44,2078
21005,1797,23,1774
21007,420,9,411
21009,4518,103,4415
21011,1051,24,1027
21013,3182,58,3124
21015,14682,155,14527
21017,1765,20,1745
21019,5142,76,5066
21021,3508,78,3430
21023,673,7,666
21025,1054,9,1045
21027,1323,18,1305
21029,7413,83,7330
21031,1481,28,1453
21033,1486,32,1454
21035,3589,50,3539
21037,8896,84,8812
21039,485,10,475
21041,1041,21,1020
21043,2378,35,2343
21045,1519,41,1478
21047,7106,107,6999
21049,3037,32,3005
21051,2720,46,2674
21053,1454,32,1422
21055,686,24,662
21057,697,13,684
21059,11021,193,10828
21061,923,25,898
21063,986,2,984
21065,1187,12,1175
21067,36543,323,36220
21069,1233,25,1208
21071,3503,72,3431
21073,4196,56,4140
21075,547,16,531
21077,746,33,713
21079,1555,36,1519
21081,2568,23,2545
21083,4387,96,4291
21085,2251,58,2193
21087,1238,18,1220
21089,3723,63,3660
21091,897,16,881
21093,10004,170,9834
21095,2950,91,2859
21097,1834,25,1809
21099,2024,53,1971
21101,4980,79,4901
21103,1388,20,1368
21105,402,15,387
21107,4727,149,4578
21109,1335,32,1303
21111,83124,1336,81788
21113,4800,72,4728
21115,2108,36,2072
21117,17237,213,17024
21119,1161,24,1137
21121,3876,46,3830
21123,1363,26,1337
21125,7576,81,7495
21127,1487,28,1459
21129,1293,26,1267
21131,955,8,947
21133,1972,46,1926
21135,1365,40,1325
21137,2411,59,2352
21139,888,25,863
21141,2941,73,2868
21143,1555,21,1534
21151,9582,112,9470
21153,1041,18,1023
21155,2391,38,2353
21157,2895,60,2835
21159,1060,20,1040
21161,1763,40,1723
21145,6956,133,6823
21147,2008,34,1974
21149,903,27,876
21163,2091,26,2065
21165,489,17,472
21167,2635,54,2581
21169,1069,30,1039
21171,1344,44,1300
21173,2862,30,2832
21175,2328,5,2323
21177,3080,67,3013
21179,5017,62,4955
21181,599,8,591
21183,2515,55,2460
21185,7701,84,7617
21187,742,13,729
21189,508,16,492
21191,1046,4,1042
21193,2794,66,2728
21195,5851,106,5745
21197,1348,13,1335
21199,6613,118,6495
21201,237,14,223
21203,1640,24,1616
21205,2329,20,2309
21207,1906,46,1860
21209,5486,36,5450
21211,4827,78,4749
21213,2156,42,2114
21215,1654,25,1629
21217,3188,53,3135
21219,1172,28,1144
21221,1341,14,1327
21223,705,7,698
21225,1449,16,1433
21227,16324,185,16139
21229,1462,41,1421
21231,2222,50,2172
21233,1419,22,1397
21235,4056,61,3995
21237,549,6,543
21239,2165,22,2143
22001,6806,196,6610
22003,3272,92,3180
22005,12936,168,12768
22007,2334,36,2298
22009,4345,124,4221
22011,3327,79,3248
22013,1711,83,1628
22015,14478,310,14168
22017,27253,761,26492
22019,23263,453,22810
22021,1139,29,1110
22023,634,7,627
22025,1179,38,1141
22027,1485,55,1430
22029,1920,62,1858
22031,2907,78,2829
22033,41204,837,40367
22035,1140,27,1113
22037,3258,115,3143
22039,3693,97,3596
22041,2571,107,2464
22043,2271,58,2213
22045,7408,161,7247
22047,3950,101,3849
22049,2075,52,2023
22051,47582,911,46671
22053,3250,97,3153
22059,1709,37,1672
22055,24566,294,24272
22057,10211,205,10006
22061,4702,93,4609
22063,14411,213,14198
22065,1572,40,1532
22067,2880,78,2802
22069,4171,94,4077
22071,31094,805,30289
22073,19096,462,18634
22075,2572,27,2545
22077,2731,75,2656
22079,12748,327,12421
22081,903,38,865
22083,2513,57,2456
22085,3004,64,2940
22087,4141,54,4087
22089,5642,98,5544
22091,983,12,971
22093,2038,51,1987
22095,3882,141,3741
22097,9190,262,8928
22099,5571,118,5453
22101,5080,143,4937
22103,26464,528,25936
22105,13259,306,12953
22107,371,8,363
22109,10983,228,10755
22111,2452,82,2370
22113,5786,126,5660
22115,3220,105,3115
22117,4491,134,4357
22119,4259,114,4145
22121,3005,63,2942
22123,1193,41,1152
22125,1210,34,1176
22127,1586,47,1539
23001,8410,86,8324
23003,1902,48,1854
23005,17252,200,17052
23007,1388,15,1373
23009,1376,38,1338
23011,6608,74,6534
23013,1147,6,1141
23015,1081,3,1078
23017,3645,67,3578
23019,6349,98,6251
23021,588,7,581
23023,1474,11,1463
23025,2285,32,2253
23027,1052,21,1031
23029,943,18,925
23031,13533,134,13399
24001,7057,212,6845
24003,43989,665,43324
24005,65989,1681,64308
24510,53166,1250,51916
24009,4240,86,4154
24011,2352,30,2322
24013,9533,254,9279
24015,6344,152,6192
24017,10968,216,10752
24019,2852,65,2787
24021,19844,342,19502
24023,2045,65,1980
24025,16661,300,16361
24027,19332,254,19078
24029,1360,51,1309
24031,71231,1623,69608
24033,85558,1597,83961
24035,3011,51,2960
24039,2625,40,2585
24037,6060,132,5928
24041,2184,44,2140
24043,14666,331,14335
24045,7731,174,7557
24047,3698,106,3592
25001,13948,470,13478
25003,6558,288,6270
25005,66918,1745,65173
25007,1414,0,1414
25009,97969,2403,95566
25011,2585,113,2472
25013,52448,1537,50911
25015,9177,300,8877
25017,135387,3778,131609
25019,1519,0,1519
25021,55031,1804,53227
25023,49299,1446,47853
25025,93146,1848,91298
25027,77436,2248,75188
26001,739,33,706
26003,670,7,663
26005,11186,161,11025
26007,2270,63,2207
26009,1636,30,1606
26011,1209,29,1180
26013,994,39,955
26015,5964,69,5895
26017,11264,355,10909
26019,1281,36,1245
26021,15596,292,15304
26023,5767,121,5646
26025,14566,318,14248
26027,5501,77,5424
26029,1681,22,1659
26031,1931,46,1885
26033,5631,50,5581
26035,2481,85,2396
26037,7656,92,7564
26039,995,14,981
26041,4057,95,3962
26043,2755,74,2681
26045,10153,212,9941
26047,2384,43,2341
26049,41756,970,40786
26051,2305,61,2244
26053,1406,52,1354
26055,6478,99,6379
26057,6986,125,6861
26059,4406,93,4313
26061,3141,43,3098
26063,4093,82,4011
26065,24909,391,24518
26067,9349,85,9264
26069,2007,74,1933
26071,1054,53,1001
26073,6339,100,6239
26075,21051,324,20727
26077,23188,402,22786
26079,1143,26,1117
26081,73774,866,72908
26083,174,2,172
26085,638,17,621
26087,9767,215,9552
26089,1243,19,1224
26091,10853,177,10676
26093,16804,196,16608
26095,1338,6,1332
26097,715,3,712
26099,100655,2497,98158
26101,1981,24,1957
